Date,Agent,Place,Type,Deaths,T-I,Description / Reference,Source
2002,Thallium,USA,Chemical,0,C,"Adetokundo ""Philip"" Fayemi  attempted to kill his ex-girlfriend using Thallium he'd ordered over the internet and inadvertently ended up poisoning six others. "," AP ""Man convicted of trying to kill ex-fiancée with poison"" September 21 2005"
2003,Copper Sulfate,Canada,Chemical,0,C,Unnamed teenage girls were arrested for poisoning the frozen drink of a schoolmate. ," Reuters ""Canadian teens accused of concocting poison slush"" 23 April 2003"
2003,Tetramine,China,Chemical,0,C,Yan Wancai put dushuqiang in bottles of soya and chilli sauce at a breakfast buffet in Ningbo Zhejiang Province. ," BBC Worldwide Monitoring ""Chinese man gets life for poisoning over 60 people"" July 17 2004; BBC Worldwide Monitoring ""Chinese Man Gets Life for Poisoning Over 60 People"" July 17 2004"
2003,Tetramine,China,Chemical,0,C,Xu Guohua mixed dushuqiang with baking powder at the kitchen of Changhu Centre Primary School in Yueyang Hunan Province on Sept 23 2003 poisoning 161 students. ," BBC Worldwide Monitoring ""Executions death sentences in China 15 Jan-24 Mar 04."" April 29 2004"
2003,Tetramine,China,Chemical,2,C,In the south-central province of Hunan a man [Wei Entan] upset because his affair with a married woman was ending tried to poison her children state media reported…One died but not before he shared rat poison-laced popcorn and oranges with his young classmates killing a second child and sickening 25 others. ," AP ""Revenge-seeker in southern China kills two schoolchildren with rat poison sickens 25"" November 13 2003; AP ""Some Chinese Mete Out Rat Poison Revenge"" November 14 2003"
2003,Tetramine,China,Chemical,5,C,A farmer Zhong Yongjin  put dushuqiang in mutton soup at a meal for his estranged in-laws at his home in Minzhu Sichuan Province. ," BBC Worldwide Monitoring ""Five Dead in Rat Poisoning in China's Sichuan Province"" February 13 2003; AP ""Police: Chinese farmer blamed for poison deaths commits suicide"" February 15 2003"
2003,Tetramine,China,Chemical,10,C,"Chen Xiaomei arrested. ""Ten people are dead from apparent rat poison added to their rice and 23 are still in intensive care in Lichuan of Central China's Hubei Province according to the provincial health bureau. On Monday 33 people felt ill during a meal at Huapin Village resident Zhu Fabin's home after they attended Zhu's father's early afternoon funeral ceremony."" "," China Daily ""Ten Die at Banquet Rat Toxin is Suspected"" October 23 2003; AP ""Widow arrested in China funeral-lunch rat poisonings"" October 24 2003; BBC Worldwide Monitoring ""China detains suspect in mass food poisoning case in Hubei Province"" October 24 2003"
2003,Tetramine,China,Chemical,16,C,Chen Fuzhou poisoned 16 homeless men using Dushuqiang rat poison mixed with soft drinks between May 25 and June 26 2003. Reports indicate the town as Longgang located in Cangnan County Zhejiang. Chinese newspaper reports paint his actions resulting from his membership in the banned Falung Gong sect although this may be propaganda. ," AP ""Chinese man arrested in deaths of 16 homeless people: report"" July 2 2003; Zhang Zhiqi and Zhang Heping ""Xinhua Reporters on Falunggong Follower's Serial Killings in Zhejiang Town"" World News Connection July 14 2003"
2003,Rat Poison,Hong Kong,Chemical,0,C,Huang Zhuandi  suspecting her husband was cheating on her slipped rat poison she'd bought in mainland China (where she lived) into his food. A co-worker ate some leftovers and was severely injured. ," Sara Bradford ""Suspicious wife dished up rat poison to scare husband; Mainlander admits preparing tainted rice dinner that felled man and co-worker"" South China Morning Post December 18 2003"
2003,Industrial Chemicals,Italy,Chemical,0,C,A poison scare hit Italy after several bottles of mineral water (and in a few cases milk) were allegedly injected with a variety of household chemicals including bleach acetone ammonia. It's not clear much like the Pepsi syringe tampering case how many of the incidents noted were staged by customers hospital visits arising from people simply suspecting they'd been poisoned or actual poisoning incidents. ," Richard Owen ""Italian poison alert over 'Aquabomber'"" The Times (London) December 8 2003; Bruce Johnston ""Milk alert as poison terrorist strikes"" The Daily Telegraph (London) December 10 2003; Aidan Lewis ""Mineral water sabotage scare spreads across Italy"" AP December 12 2003; ANSA Media Service ""Fresh Poisoned Bottle Scare Feared After Six Kids Fall Sick"" March 5 2004"
2003,Pesticide,Netherlands,Chemical,0,C,Between 1999 and 2002 Frans van der Laarhoven poisoned yogurts puddings and other foodstuffs in an extortion scheme Dutch companies. Four people did become ill as a result of his contamination. ," Anthony Deutsch ""Dutchman convicted of attempted murder for lacing yoghurts with pesticide in extortion scheme"" AP March 23 2004"
2003,Diazepam,New Zealand,Chemical,0,C,Pourshad Marco Avand injected diazepam into the fruit juice cartons of eight women in New Zealand in order to sexually assault them and steal money. ," Jo-Marie Brown ""Jury told of drug effect"" The New Zealand Herald February 25 2003; Deutsche Presse-Agentur ""Iranian immigrant found guilty of sex-fraud charges"" March 5 2003; Deutsche Presse-Agentur ""Iranian jailed for 17 years for sex assaults""' April 14 2003"
2003,Insecticide,South Africa,Chemical,1,C,"John Malula put ""Aldicarb"" brand insecticide into his daughter's drink killing her. "," SAPA ""Father to Stand Trial for Daughter's Poison Murder"" 13 September 2004"
2003,GBL,Thailand,Chemical,1,C,"One man died and seven seriously injured after drinking a bottle of Thai wine in Pattaya. Labels on the wine were forged. It was initially thought (and still reported in some quarters) that the incident was an attempt to damage the reputation of the winemakers by a rival. Lab tests found gamma-butyrolactone (GBL) tetrahydrofuran and acetonitrile in the bottles. In fact the bottles of wine were being used by a gang to smuggle GBL (a precursor to GHB and sometimes marketed under the term ""liquid ecstasy"") to the United States. The Thai they employed to ship the wine to the USA (it seems she did not realize what was in the bottles) did not deliver them instead giving some bottles to her ex-husband who promptly shared them with friends. The incident did however damage the reputation and sales of the Thai wine company. "," The Nation (Thailand) ""Lethal Business Feud: Tainted wine kills one leaves 7 sick June 27 2003; The Nation (Thailand) ""Precautionary Measure: Sales of La Sainte Wine Suspended"" June 28 2003; The Nation (Thailand) ""Westerner is key suspect in wine killings"" June 30 2003; Deutsche Presse-Agentur ""Thai police puzzled over source of deadly fake wine"" July 2 2003; The Nation (Thailand) ""Poisoning: The Nation (Thailand)""July 2 2003; World News Connection ""Thai Police Suspect 'Poisonous' Wine Bound for US Additive for 'Date-RAPe' Drug"" July 3 2003; The Nation (Thailand) ""Police link killer-wine gang to drug trade"" July 4 2003; The Nation (Thailand) ""Swede linked to tainted wine"" July 5 2003; The Nation (Thailand) ""Label forgers interviewed"" July 6 2003; The Nation (Thailand) ""Police issue warrant for Scandinavian suspect"" July 8 2003; The Nation (Thailand) ""FDA looks to restrict chemical"" July 17 2003; Thai Press Reports ""Thai Fruit Wine Industry Still Under Cloud of Fatal Incident"" November 8 2004; Knight-Ridder Tribune Business News ""Pattaya Poisoning Tragedy Still Haunting Thailand Wine Industry"" November 8 2004"
2003,Antifreeze,USA,Chemical,0,C,Maureen Plambeck spiked her sister-in-law's margarita. ," AP ""Woman Accused of Making Antifreeze Drink"" April 21 2004"
2003,Arsenic,USA,Chemical,1,C,Coffee at a church was intentionally laced with arsenic. The suspect Daniel Bondeson  killed himself before he could be questioned. ," David Sharp ""Church poisonings provide valuable data for researchers"" AP April 22 2004"
2003,Potassium Cyanide,USA,Chemical,1,C,Ryan T. Furlough a high school student purchased potassium cyanide over the internet using his mother's credit card and spiked a fellow student's soda. The student died 5 days later. ," Ylan Q. Mui and Mary Otto ""Youth Dies Of Poisoning; Friend Faces Murder Count"" The Washington Post January 9 2003"
2003,Rat Poison,USA,Chemical,0,C,Janet Askins babysitting her neighbour’s three children put rat poison in the macaroni and cheese. ," AP ""Baby sitter accused of poisoning three children"" January 16 2003"
2003,Rat Poison,USA,Chemical,0,C,Matthew Allen Ritter put rat poison into his children's drinks. ," Craig Gustafson ""Father charged with trying to poison two young daughters"" AP December 16 2003"
2004,Unnamed Chemical,Canada,Chemical,0,C,Adel Arnaout injected a number of water bottles with a chemical police refused to identify sending them to two talent agencies in Toronto. One of the staff at an agency notice the pricks on the bottle from where Arnaout injected the chemicals and called the police. ," Adam Huras ""Charges Laid In Poison Scheme; Tampered water bottles sent to modelling agencies"" National Post (Canada) November 7 2007"
2004,Tetramine,China,Chemical,0,C,"Zhang Taisheng who ran a food stall at a primary school in Xinping Village Lushi County Henan mixed dushuqiang with starch and ""mixed it with sugar peanut and some rice glue dumplings in a cloth bag and hung the bag on the door of"" a rival stall owner. "," Xinhua General News Service ""Food poisoner given 10-year jail term"" July 8 2004"
2004,Arsenic,Indonesia,Chemical,1,C/S,Munir a human rights activist was killed on a Garuda flight to Amsterdam when his juice was spiked with arsenic. ," Deutsche Presse-Agentur ""Indonesian pilot goes on trial for killing rights activist"" August 9 2005; Telly Nathalia ""Ex-Indonesia pilot gets 20 yrs for activist murder"" Reuters 25 January 2008;"
2004,Cyanide,Indonesia,Chemical,3,C,Budiono Mujiono (aka Maman)  laced coffee with cyanide.  ," The Jakarta Post ""Alleged Cyanide Killer on Trial"" June 29 2005"
2004,Unknown,Russia,Unknown,0,C,Poison tea of reporter Anna Politkovskaya on way to Ossetia. ," Scott Shane ""Poison's Use as Political Tool: Ukraine Is Not Exceptional"" The New York Times December 15 2004"
2004,Rat Poison,South Africa,Chemical,0,C,"A woman in Polokwane South Africa attempted to poison her boyfriend by putting rat poison in his porridge. The report notes it is called ""ga le phirime"" and there is reference to this being a local poison used in the past. "," SAPA (South African Press Association) ""Woman Arrested for Rat Poison in Porridge"" April 21 2004"
2004,Insecticide,Thailand,Chemical,0,C,A teacher [Thanyaya Hommak ] at a kindergarten in Samut Prakan mixed insecticide into chocolate drinks causing 37 children to be ill. ," The Nation (Thailand) ""School drink suspect poisons self"" July 6 2004; The Nation (Thailand) ""Pre-School Poisoning: 'I didn't mean to hurt them' says teacher"" July 16 2004"
2004,Tetrachlorodibenzoparadioxin (TCDD),Ukraine,Chemical,0,C,Yushchenko poisoning with dioxin in his food (possibly soup).," Scott Shane ""Poison's Use as Political Tool: Ukraine Is Not Exceptional"" The New York Times December 15 2004; Yuras Karmanau “ Interview: Ukrainian opposition leader certain government poisoned him pinpoints likely meal"" AP December 16 2004; Emma Ross ""Yushchenko poisoned by TCDD the most harmful known dioxin scientist says"" AP December 17 2004; Jeremy Page ""Doctors identify poison used on Yushchenko"" The Weekend Australian December 18 2004; The Irish Times ""Legacy of former Soviet Union infects new states"" December 22 2004; Matthew Schofield ""Poisoning remains a mystery"" The Independent (UK) February 21 2005; Bojan Pancevski ""I received death threats says doctor who denied that Ukrainian leader was poisoned."" The Sunday Telegraph (London) March 27 2005; Robin Gedye ""Yushchenko poisoners' lab is found"" The Daily Telegraph (London) July 1 2005;"
2004,Acetone,USA,Chemical,0,C,A teenager put acetone in her classmates drink. ," AP ""Girl gets probation for pouring acetone in drink"" November 10 2004"
2004,Antifreeze,USA,Chemical,1,C,Maryann Neabor murdered her brother-in-law by putting antifreeze in his drink. ," AP ""Police: Woman fed brother-in-law fatal fruit drink"" July 11 2004"
2004,Antifreeze & Lye,USA,Chemical,0,C,"The Kansas couple Donna Ozuna-Trout & Ralph Trout  sent their neighbour ""coffee cake glazed doughnuts and root beer laced with poison."" "," Mary Vallis ""Couple charged with trying to poison Mayor"" National Post (Canada) July 9 2004"
2004,Arsenic,USA,Chemical,1,C,Tamara Rollo spiked her boyfriend's health drink with arsenic. ," Jim Salter ""Woman accused of poisoning scientist is found dead"" AP November 1 2005"
2004,Ethylene Glycol,USA,Chemical,1,C,James Keown poisoned wife to death with anti-freeze in Gatorade and food. ," Jonathan Saltzman ""Poison Murder Case is Detailed"" Boston Globe November 11 2005; AP ""Man found guilty of killing wife with antifreeze"" July 3 2008"
2004,Prescription Drug,USA,Chemical,0,C,"Brandon Weaver stole blood thinner medication and crushed it into his wife's sandwich. ""The woman didn't eat enough to cause serious problems."" "," AP ""Bountiful firefighter arrested in alleged poisoning"" March 9 2004"
2004,Prescription Drugs,USA,Chemical,0,C,"Mary E. Cannon used a blender to ""grind up the drugs and put them in the McDonald's milkshakes"" which she gave to her husband and son. "," AP ""Police: Woman doesn't remember trying to poison husband and son with lethal milkshakes"" January 11 2005"
2004,Rat Poison,USA,Chemical,0,C,Traci Jackson rat poison in her husband's coffee. ," AP ""Woman convicted of poisoning husband's coffee"" December 6 2004"
2004,Rat Poison & Prescription Drugs,USA,Chemical,0,C,Carrie Wheeler on one occasion mixed rat poison into her husband's tacos and on another crushed prescription drugs into his drink. ," AP ""Woman accused of serving tainted tacos to husband"" September 3 2004"
2004,Ricin,USA,Chemical,0,C,On June 16 a man told Irvine police that as he was about to feed his son he found a note inside a jar of baby food warning that it had been contaminated. A similar case was reported by an Irvine couple on May 31 involving the same baby food Gerber Banana Yogurt police said. A note was also found inside that jar. ," AP ""Tampered baby food in Orange County contained poison FBI says"" July 28 2004; Andrew Pollack ""F.D.A. Finds Traces of Poison in 2 Jars of Baby Food in California; No One Is Harmed"" The New York Times July 29 2004"
2004,Unknown Poison,Vietnam,Chemical,0,C,Vang Thi Dinh & Giang Dung Xu poisoned their neighbours by mixing poison with sticky rice. Xu bought poison in China (most likely a rodenticide).," Deutsche Presse-Agentur ""Neighbour suspected of poisoning family of five in Vietnam"" August 17 2004"
2005,Potassium Cyanide,India,Chemical,2,C ,Usha Pillai added potassium cyanide she purchased in a market into her husband's bottle of liquor killing him and his nephew. ," The Hindu ""Death of Ex-Serviceman: Wife Arrested"" February 17 2005"
2005,Thallium,Japan,Chemical,0,C,16 yr old Japanese girl from Shizuoka a fan of serial killer Graham Young slowly poisoned her mother over a period of a few months. ," Colin Joyce ""Girl of 16 'poisoned mother and charted her decline in internet diary'"" The Daily Telegraph (London) November 3 2005; Justin McCurry ""Confession of teenage poisoner: Japanese girl tells weblog how she copied infamous British murderer"" The Observer (London) November 6 2005; Japan Economic Newswire ""Girl 17 sent to correctional home for poisoning mother"" May 1 2006"
2005,Insecticide,Kuwait,Chemical,5,C,Moaiyed al-Saedi poisoned his eight children by putting insecticide in their beverages killing 5. ," Deutsche Presse-Agentur ""Kuwaiti father poisons his eight children killing five"" April 22 2005;"
2005,Insecticide,Malaysia,Chemical,0,C,A 26 yr old maid in Malaysia spiked the house owner's drink with insecticide. ," Bernama Malaysian National News Agency ""Indon Maid Arrested for Trying to Poison Employer"" June 9 2005"
2005,Insecticide,Malaysia,Chemical,0,C,A 31 yr old maid in Malaysia spiked into her employer's son's lemonade. ," Deutsche Presse-Agentur ""Indonesian maid accused of poisoning boss' son in Malaysia"" October 27 2005"
2005,Insecticide,Philippines,Chemical,28,C,Ana Luyong sold cassava fritters laced with a coumaphos insecticide to a group of schoolchildren in SE Philippines. ," Philippine Daily Inquirer “Cassava Vendor Denies Rap” May 3 2005; Agence France Presse “Grieving Parents Collect Dead Children After Mass Poisoning in Philippines” March 10 2005; Mars W. Mosqueda Jr. & Genalyn D. Kabiling “GMA Visits Bohol Victims” The Manila Bulletin March 11 2005; Jenny Manongdo & Mars W. Mosqueda Jr. “DoH Still Mystified by Mass Poisoning Tragedy in Bohol” The Manila Bulletin March 12 2005; Jenny Manon The Official Website of the Provincial Government of Bohol “Vendor Admits Cooking White Cassava Probers Eye Pesticide” March 13 2005 available at: http://www.bohol.gov.ph/news/news.php?newsid=95 ; Philippine Daily Inquirer “NBI: Pesticide Killed Bohol Kids” March 18 2005; Gilbert Felongco ""Woman Faces Murder Charges in Schoolchildren's Death"" Gulf News March 27 2005; Chito A. Fuentes “Mabini Moves On But Scars of Mass Poisoning Deep” Philippine Daily Inquirer March 11 2006;"
2005,Mercurous Nitrate,Philippines,Chemical,0,C,A teenager became seriously ill after two classmates at the Philippine Science High School where they had easy access to the chemical put the mercurous nitrate in her water bottle. ," DJ Yap ""Teener picks up pieces of her life after poisoning incident"" Philippine Daily Inquirer 2 October 2006"
2005,Cyanide,Taiwan,Chemical,1,C/Ex,"Wang Ching-chan poisoned bottles of an energy drink with cyanide attaching a note saying ""I am Poisonous"" (which many customers evidently ignored) in an extortion attempt. The company was forced to recall over a million bottles and suspended production. "," China Post ""Energy Drink Poisoner is Sentenced to Death by Court"" July 12 2005."
2005,Antifreeze,UK,Chemical,0,C,Kate Knight attempted to murder her husband on their wedding anniversary by lacing his Indian curry and red wine with antifreeze. Her husband was left in a coma for four months suffered kidney failure brain damage deafness and the loss of most of his sight. ," Press Association ""Wife Denies Anti-Freeze Murder Bid"" January 7 2008; Katie Dawson ""'Poisoned' man gives evidence against his wife"" Birmingham Post January 18 2008; Liverpool Daily Echo ""Poisoner wife must serve 30 years"" June 18 2008"
2005,Glass/Needles,UK,Physical Contaminate Agent,0,C,Glass and needles were found in at least five loaves of Kingsmill brand bread loaves. ," Matt Adams ""Glass and Needles Found in Loaves of Bread"" Press Association September 14 2005; The Times (London) ""Bread Alert"" September 15 2005"
2005,Copper Sulfate,USA,Chemical,0,C,Danielle Sanders stole the copper sulfate from her high school and laced her mother's boyfriend's drink. ," AP ""Police: Lakeland girl 15 tried to poison mother's boyfriend"" March 10 2005"
2005,Rat Poison,USA,Chemical,0,C,Cheryl M. Raybuck laced her husband’s food over a period of days in an attempt to kill him. ," AP ""Woman ordered to stand trial for allegedly poisoning husband"" March 16 2005"
2005,Rat Poison,USA,Chemical,0,C,Stephanie Quesnoy & Holley Sweeney put rat poison into two classmates' milk cartons. ," AP ""Girls charged with attempted murder for rat poison in milk"" September 20 2005; AP ""Teenager who poisoned milk gets up to 12 years"" May 14 2006; AP ""Girl in rat poison case will be evaluated for mental problems"" May 26 2006"
2005,Rat Poison,USA,Chemical,0,C,Adaline Colon of East Hartford CN put D-Con brand rat poison in her husband's food after an argument. ," Meir Rinde ""Want to Use Rat Poison to Kill Someone? Well It's Tougher Than You Think"" The Hartford Advocate June 9 2005"
2005,Rat poison ,USA,Chemical,0,C,Jamie Auck 15 yrs old laced his family's food on numerous occasions with d-Con brand rat poison. ," Robert Imrie ""'A cry for help'? Poison in coffee leads to charges against 15-year-old in troubled family"" AP February 22 2005"
2005,Rat Poison / Medication,USA,Chemical,3,C,Jim Junior Nice poisoned his children's pudding and hot chocolate.," AP ""Southern Idaho town hit by children's deaths asks why"" December 24 2005; John Miller ""After tragedy triple murder burial site divides Idaho families"" AP August 18 2007"
2005,Rat Poison,USA ,Chemical,0,C,Barbara J. March mailed poisoned muffins and candy containing rat poison to several judges and FBI officials along with threatening letters. The article notes she may have sent poisoned wine to relatives in 1985 although no mention of this could be found in online databases. ," Stacey Stowe ""Bridgeport Woman Mailed Poison to Justices F.B.I. Says"" The New York Times July 2 2005; UPI ""Goodies sent to Supreme Court poison-laced"" November 18 2006"
2006,Prescription Drugs,Australia,Chemical,0,C,A Brisbane woman was arrested for attempting to poison her two sons by putting crushed prescription tablets into their yogurt. ," AAP Newsfeed ""Woman charged with attempting to poison sons"" November 17 2006"
2006,Rat Poison,Australia,Chemical,0,C,Sizzler closed the salad bars at its 28 restaurants across the country yesterday after it was revealed rat poison had been found in food at two of the chain's outlets in Brisbane. Police said green pellets were found in pasta sauce at the Sizzler restaurant in Toowong in Brisbane's west on January 20. Similar pellets were found in a vegetable soup at Sizzler's Myer Centre outlet in the city about 5pm on Saturday. Jacqueline Forbes was arrested by police in connection. ," Kevin Meade The Australian March 1 2006; UPI ""Australian woman charged with poisoning"" March 1 2006; Kevin Meade ""Woman held over salad bar poison"" The Australian March 2 2006"
2006,Insecticide,France,Chemical,2,C ,Ghislain Beaumont mixed insecticide into his parent's chocolate mousse. ," The Daily Mail (UK) ""Chocolate Mousse Murderer"" February 27 2008"
2006,Unknown Poison,India,Chemical,3,C,Shankar Biswas mixed poison in his wife and son's meal in a murder-suicide. ," The Statesman (India) ""Man Kills Family Self"" October 4 2006"
2006,Herbicide,Korea,Chemical,0,C,A woman identified in newspaper reports only by her surname 'Park' contaminated three bottles of Coca-Cola with an herbicide putting two in a store in Hwasun and one in a restaurant in Tamyang in an extortion attempt. The 41 yr old woman sent extortion messages via text messages to Coca-Cola employees and posted threatening messages on the company website. Coca-Cola recalled 1. million plastic bottles from Gwangju Hwasoon and Damyang. ," Kim Rahn ""Woman Accused of Putting Poison in Coca-Cola"" Korea Times July 12 2006; Park Jung-youn Coca-Cola recalls 1.1m bottles of coke"" The Korea Herald July 15 2006"
2006,Strychnine,Northern Ireland,Chemical,1,C,A prisoner died from strychnine poisoning from a contaminated drink. ," Georgina O'Halloran ""200 Quizzed Over Rat Poison Prison Death"" The Mirror (UK) July 27 2007"
2006,Antifreeze,UK,Chemical,0,C,Keith Lamb as a joke spiked a colleague's drink with antifreeze. ," The Evening Standard (London) ""Tragedy of antifreeze prank"" February 10 2006"
2006,Polonium-210,UK,Radiological,1,C,Alexander Litvinenko case. Litvinenko was murdered after radioactive polonium-210 was allegedly put into his tea or sushi. ," Ian Sample ""Poisoned spy affair"" The Guardian (London) December 2 2006; Tony Halpin ""Ex-KGB spy 'was poisoned in hotel'"" The Times (London) December 8 2006; Steve Boggan ""Who Else Was Poisoned by the Polonium?"" The Guardian (London) June 5 2007"
2006,Ant poison,USA,Chemical,0,C,Patricia Berzon put ant poison in her boyfriend's milk. ," Rich Schapiro ""Defends Gal Pal in Poison Try"" Daily News (New York) February 26 2006"
2006,Dishwashing Soap,USA,Chemical,0,C,Wendell Woodroffe an employee at CVS tainted bottles of grape juice that were then bought by a local church sickening 40 people who drank it in February 2006. He's also suspected in tampering with a bottle of prune juice in January which a customer bought.  ," Lisa W. Foderaro and Kathleen M. McGrory ""Contaminant That Sickened 40 at Church Is Still Mystery"" The New York Times February 10 2006; Jeff Holtz ""Substance Found In Church's Grape Juice"" The New York Times February 12 2006; John Christofferson ""Police focus on store as likely point of juice contamination"" AP February 13 2006; AP ""Conn. Police: Juice Tainted With Soap"" March 17 2006; John Christofferson ""Man arrested in juice tampering that sickened church members"" AP July 17 2006; Jeff Holtz ""Store Worker Arrested In Juice Tampering"" The New York Times July 23 2006"
2006,Household cleaners ,USA,Chemical,0,C,A 16-year-old girl has been charged with trying to kill her family by feeding them a dessert she made with floor cleaner. ," AP ""Crestview girl 16 charged with trying to poison family"" August 4 2006"
2006,Prescription Drug,USA,Chemical,0,C,"Melissa Jones put ""potentially fatal non-prescription drug in her husband's drink."" "," AP ""Cheney woman charged with poisoning husband"" September 13 2006"
2006,Rat Poison,USA,Chemical,0,C,Dana Simons attempted to poison her sister and sister's boyfriend by putting rat poison in their sandwiches on two separate occasions. They noticed the rat poison both times in the sandwiches and frustrated by the repeated attempted murders called the police. ," AP ""Poisoned sandwiches leads to Ocean County woman's arrest"" November 19 2006"
2006,Rat Poison,USA,Chemical,0,C,"An inmate working in the kitchen at St. Clair County Jail ""put rat poison pellets on the grits normally served for breakfast."" "," AP ""Officials investigate rat poison incident at county jail"" March 11 2006"
2006,Various,USA,Chemical,0,C,"Henry Hanson  repeatedly attempted to poison his landlord by lacing his milk with ""with controlled drugs poison and harmful substances."" "," AP ""State police accuse tenant of slipping pills into landlord's milk"" July 14 2006"
2007,Rat Poison,China,Chemical,1,C,"A woman only identified by her surname ""Hu"" put rat poison into the food at a ""government department canteen in central China."" ""The incident occurred on the morning of October 11 when 12 staff members from the No. 2 Branch of the Tax Bureau of Xiantao City in Hubei Province fell sick after eating noodles and soybean milk at the dining hall. A 30-year-old man later died."" "," Xinhua General News Service ""Government employee commits suicide after killing colleague with rat poison"" October 22 2007"
2007,Thallium,China,Chemical,0,C,"The student only identified by his surname ""Chang"" put thallium into water and added it to the dinner's of three classmates at China University of Mining and Technology Xuzhou. "," Xinhua General News Service ""University student in east China arrested for poisoning classmates"" June 20 2007"
2007,Thallium,Russia,Chemical,0,C,Yana and Marina Kovalevsky were poisoned when visiting Russia. ," UPI ""Poisoning was intentional women say"" July 22 2007"
2007,Rat Poison,UK,Chemical,0,C,Heather Mook attempted to poison her husband by putting rat poison in his spaghetti. ," Press Association ""Wife 'Poisoned Husband with Rat Killer'"" December 3 2007"
2007,Cyanide and Antifreeze,USA,Chemical,0,C,"Karen Tubertini first tried to kill her husband by giving him antifreeze and cyanide which only made him ""violently sick… On three separate occasions she mixed a lethal dose [of cyanide] into his food.""1 "," Sam Wood ""Poison to 'punish' her husband; Wife admits mixing antifreeze and cyanide in his meals"" The Philadelphia Inquirer August 21 2007"
2007,Paperclip,USA,Physical Contaminant,0,C,A middle school had four incidents of tampering in its canteen over a few weeks. A 12 yr old student was arrested for putting a pin in an container of apple sauce but it is not clear if he was responsible for earlier incidents or engaging in copycat behaviour. ," Matthew Barakat ""Straight pins found in food at Va. middle school cafeteria"" AP May 7 2007 AP ""12-year-old charged with putting pin in food at school cafeteria"" May 9 2007; Maria Glod ""Boy Charged With Food Tampering"" The Washington Post May 10 2007"
2007,Rodent Poison,USA,Chemical,0,C,Karen L. Wyndham an employee at Kmart put rat poison into three packages of ground beef. Nobody bought the beef and nobody was harmed. ," AP ""FBI: Grudge Let to S.C. Meat Poisoned"" April 11 2007; AP ""Ex-Kmart Worker Sentenced for Poisoning"" October 24 2007"
2007,Various,USA,Chemical,0,C,[Jennifer] Ratti allegedly put antifreeze and Valium in her husband's drinks and spiked his food with ant and roach killer.4 ," AP ""Woman accused of trying to poison husband 'snapped' lawyer says"" April 3 2007"
2008,Strychnine,Austria,Chemical,0,C,"The man identified only as ""Helmut O."" laced a chocolate praline with strychnine to kill the mayor of his local village who ended up in a coma. "," Deutsche Presse-Agentur ""Court sentences man to 20 years in poison praline attack"" May 21 2008"
2008,Rat poison,China,Chemical,3,Unknown,Three people died and nine were put into hospital after the rice cooker at a restaurant in Haikou in Hainan was laced with a rat poison. Two men who worked for a rival business Huang Yuchen and Wu Shushun were arrested. ," Xinhua General News Service ""Twelve people sickened by rice containing rat poison in south China"" June 30 2008; BBC Monitoring International Reports ""Two Arrested for South China Food Poisoning Deaths"" July 18 2008"
2008,Narcotic,Denmark,Chemical,0,C,Four guards at Nyborg Prison in Denmark were poisoned when prisoners baked a cake for the guards putting an unnamed narcotic substance inside. ," Los Angeles Times ""Inmates' Cake Sickens Guards"" March 14 2008"
2008,Thallium,Iraq,Chemical,2,C,Cakes laced with thallium were served at a Baghdad sports club killing two children and injuring nine. Initial reports stated a disgruntled employee brought in the cakes although later reporting suggests he was reinstated into his position after the incident. Another report indicates authorities had traced the source of the cakes to a bakery in a Sunni Arab district of Baghdad where support for the previous regime was still strong. ," Michael Howard ""Two children die as Iraqi poison plot recalls Saddam's assassination method of choice"" The Guardian (London) February 9 2008; BBC Worldwide Monitoring “Jordanian Hospital Gives Antidote to Poisoned Iraqi Athletes” February 17 2008; BBC Worldwide Monitoring “Eight Iraqi poisoned athletes ""in excellent condition"" after treatment in Jordan” February 29 2008; Alison Dayani “City Finds Clue to Iraq Poisonings” Birmingham Evening Mail March 7 2008"
2008,Herbicide,Japan,Chemical,0,C,A customer bought a bottle of green tea spiked with an herbicide. ," Jiji Press Ticker Service ""Herbicide Found in Bottle of Kao's Healthya Green Tea"" April 5 2008"
2008,Herbicide,Japan,Chemical,0,C,A bottle of tea bought at a supermarket in Kato was found to contain a weed killer containing glyphosate. ," The Daily Yomiuri(Tokyo) ""Traces of weed killer found in bottled tea"" April 9 2008; The Daily Yomiuri(Tokyo) ""Weed killer found in bottle of health tea"" April 27 2008"
2008,Insecticide,Japan,Chemical,0,C,A can of coffee bought from a vending machine in Chiyoda Ward Tokyo has been found to be tainted with an insecticide ingredient...The insecticide was propoxur one of the ingredients used in an insecticide to control cockroaches flies and other insects the ministry said.," The Japan Times ""Insecticide Found in Canned Coffee"" May 11 2008"
2008,Nail,Japan,Physical Contaminant,0,C,A nail was found in a package of ham sold at a supermarket. ," HDR Japan ""Nail Found Stuck in Ham at Discount Store"" May 13 2008"
